THC,CO,NO
33,439,36
35,222,19
35,222,36
25,445,22
44,378,23
30,356,26
48,276,29
37,440,30
48,337,37
49,192,40
52,519,32
34,296,20
41,187,29
61,577,11
32,325,12
35,251,30
53,543,15
31,326,13
39,619,37
61,574,11
31,326,13
42,664,39
38,328,31
43,229,35
25,465,21
35,399,30
39,290,35
50,223,28
34,270,29
35,314,29
29,264,24
60,554,45
29,264,24
53,380,43
53,340,45
39,632,26
25,488,15
100,100,100
38,241,34
66,505,53
26,119,22
42,268,36
52,416,46
64,481,55
44,270,36
55,479,5
37,385,23
44,139,28
50,433,17
52,327,13
66,417,30
73,321,41
25,154,14
34,374,10
50,383,25
46,290,24
40,417,24
63,323,11
37,461,22
50,652,21
68,968,11
41,907,10
36,591,13
51,563,41
52,799,47
54,401,31
31,442,6
71,447,15
71,524,20
46,559,18
26,525,23
47,886,6
53,319,41
36,203,27
23,383,19
42,351,32
46,355,31
44,366,18
55,336,18
71,597,44
61,435,41
72,731,33
62,627,38
34,317,23
39,409,23
22,336,23
33,392,22
27,438,14
29,347,14
31,394,5
48,481,10
27,224,13
25,320,18
19,400,3
21,486,28
20,420,8
19,532,6
32,414,19
30,610,9
20,176,7
45,453,8
18,303,16
28,187,3
65,392,34
42,512,35
51,357,35
29,155,8
38,413,4
62,161,5
54,534,30
44,525,22
41,177,12
44,101,13
28,302,34
64,127,31
30,254,25
48,255,19
43,528,47
53,404,35
73,314,32
33,234,67
29,119,37
29,119,37
19,272,55
13,185,40
67,271,31
68,155,30
19,196,34
46,177,40
34,202,59
34,202,59
39,161,67
29,241,58
29,241,58
46,359,62
46,359,62
31,332,66
31,332,66
31,332,66
31,332,66
14,182,47
31,277,53
31,277,53
69,193,38
31,175,27
17,243,35
19,196,34
21,243,35
19,196,34
12,170,62
8,118,62
23,267,53
8,118,62
8,118,62
42,354,18
27,158,33
27,158,33
27,158,33
27,158,33
34,116,54
34,116,54
20,54,57
20,141,64
20,141,64
20,141,64
20,141,64
20,141,64
13,117,53
58,251,21
27,117,62
37,109,36
37,109,36
37,109,36
39,109,27
39,109,27
37,109,36
37,109,36
37,109,36
39,109,27
39,109,27
34,116,54
38,196,63
27,86,25
33,173,29
6,169,30
33,173,29
27,86,25
6,169,30
26,99,53
8,148,30
22,301,33
18,181,28
18,181,28
23,354,57
23,354,57
21,258,56
21,258,56
11,153,55
11,153,55
18,248,45
18,202,23
18,202,23
25,293,72
25,293,72
7,118,59
18,202,23
18,202,23
57,225,30
12,161,69
19,196,34
12,161,69
18,204,58
34,164,53
39,216,54
30,166,66
39,216,54
30,166,66
67,442,50
67,442,50
67,442,50
67,442,50
49,405,65
52,352,51
25,263,47
52,352,51
25,263,47
37,224,46
51,248,53
37,224,46
51,248,53
51,248,53
51,248,53
35,294,40
37,355,75
35,294,40
37,355,75
37,355,75
37,355,75
38,407,70
38,407,70
